,PC1,PC2,PC3
LUAD:sample380,-0.000180645,0.000432372,-0.001659446
LUSC:sample381,-0.000381891,-0.000462976,0.000495955
LUAD:sample382,4.91E-05,0.00042579,-0.001098309
LUSC:sample383,-0.000541453,-0.000504961,-0.000353419
LUSC:sample384,-0.000270355,-1.65E-05,0.000581661
LUSC:sample385,-0.000740949,-5.11E-05,0.000493434
LUAD:sample386,0.000282278,-0.000377926,-0.000558385
LUSC:sample387,-0.000155108,0.000639571,-0.000416459
LUSC:sample388,-0.000499061,-0.000524736,-0.000198272
LUAD:sample389,0.000538649,0.000170825,0.000895349
LUAD:sample390,0.000336168,-0.00083473,-0.000851897
LUSC:sample391,-0.000364107,-0.00043128,0.000258651
LUAD:sample392,0.000446955,-0.000326538,-0.000106752
LUSC:sample393,-0.00077955,0.000294615,0.000143299
LUAD:sample394,0.00063604,0.000118581,0.001385501
LUSC:sample395,-0.000381831,-0.000187954,-0.000876932
LUSC:sample396,-0.000425377,-0.000600508,0.00046531
LUSC:sample397,0.000475213,0.000696891,0.001198115
LUAD:sample398,0.000194149,-0.0002735,-0.001003331
LUSC:sample399,-0.000585603,0.00067144,-0.000388558
LUAD:sample400,0.00018227,4.86E-05,-4.58E-06
LUAD:sample401,-0.000392126,0.000233667,-0.000345691
LUAD:sample402,0.000229836,0.000199544,-0.000619593
LUAD:sample403,0.000214832,0.000676706,-4.69E-05
LUAD:sample404,0.000338162,-1.20E-05,-0.000216231
LUAD:sample405,2.34E-05,-0.000125767,-0.001367708
LUSC:sample406,-0.000238504,1.51E-05,0.000512707
LUSC:sample407,-0.000464455,0.000556077,0.000192059
LUSC:sample408,-0.000294302,0.000111134,-0.000458951
LUAD:sample409,0.000420123,0.000137075,0.000182186
LUSC:sample410,0.000306803,-0.001118716,0.000693344
LUSC:sample411,-0.000174673,-0.000380863,-0.000364782
LUSC:sample412,-0.000118346,-0.000693416,0.000341416
LUAD:sample413,0.00018045,0.000320125,-0.00127261
LUAD:sample414,0.000371164,3.35E-05,0.000214505
LUSC:sample415,-0.000398423,0.000532165,0.000259727
LUAD:sample416,0.00015393,-0.000748241,0.000347908
LUAD:sample417,0.000363221,0.000117894,0.000406681
LUAD:sample418,0.000265347,0.000399183,-0.000755763
LUSC:sample419,-0.000323481,-0.000186319,0.000638278
LUAD:sample420,0.000117597,-0.000151038,-0.000326751
LUSC:sample421,0.000342444,0.000691542,0.00110498
LUSC:sample422,-0.000692101,0.000481466,1.80E-05
LUAD:sample423,0.000402558,0.000900293,0.001265664
LUSC:sample424,-0.000163683,-0.000285917,0.000391638
LUAD:sample425,0.000148387,0.000484943,-0.001220825
LUAD:sample426,0.000157156,0.000496837,-0.000901993
LUAD:sample427,0.000726951,-0.000322204,0.00115828
LUAD:sample428,0.00025778,0.000122677,-0.000621892
LUSC:sample429,-0.000361796,0.000271451,9.86E-06
LUSC:sample430,0.00032058,0.001141975,0.001613787
LUAD:sample431,0.000459642,-1.57E-05,-0.000430456
LUAD:sample432,0.000181681,0.000398698,-0.001189153
LUSC:sample433,-0.000600513,-0.000141911,0.000229883
LUAD:sample434,6.72E-05,-0.000122321,-0.000496466
LUSC:sample435,-0.000662853,-0.000438973,0.000258193
LUAD:sample436,0.000321166,-7.31E-05,-0.000191251
LUSC:sample437,-0.00035432,4.98E-05,8.23E-05
LUAD:sample438,0.000178353,-0.000281171,-0.001069207
